Timestamp,Latitude,Longitude,X,Y,Distance,LogDist,Azimuth,RouteID,CellID,Frequency_MHz,RSRP_dBm
2012-09-18 15:08:35,35.516925702383,24.024464061309,-5.34090118236154,954.201909275718,954.216856322957,2.9796470841401,90.3206951253635,2,60565,1876.6,-95
2012-09-18 15:08:23,35.51706211709,24.024452592056,-6.38022095465584,969.387594459031,969.408590590416,2.98650686398328,90.3770983420376,2,60565,1876.6,-95
2012-11-18 16:34:48,35.51729175,24.024454866667,-6.17410045267558,994.950330000132,994.969486307883,2.99780976202079,90.3555407209785,2,60561,1861.6,-82
2012-12-13 17:45:28,35.510582733333,24.02474505,20.1217076163521,248.102594630178,248.917216318246,2.39605493555369,85.3633249626423,1,60562,1860.2,-91
2012-09-24 12:19:30,35.510966542987,24.024626660041,9.39345659327968,290.828285313072,290.979945296771,2.46386305789628,88.1500479637278,1,60562,1860.2,-77
2012-09-24 12:19:24,35.511080511488,24.024639139489,10.5243181283227,303.515258844106,303.697668122873,2.48244145729444,88.0140783768724,1,60562,1860.2,-77
2012-09-21 12:18:41,35.511296193287,24.024763509945,21.7945093092356,327.524956709404,328.249292312303,2.51620379844714,86.1929766428804,1,60562,1860.2,-77
2012-09-24 12:19:11,35.511487816228,24.024715600627,17.4530668914507,348.856422501049,349.292732624296,2.54318954981171,87.1359162197935,1,60562,1860.2,-77
2013-03-20 20:50:21,35.512139783333,24.0246402,10.6204194220128,421.433400629653,421.56720042595,2.62486681371267,88.5564114232793,1,60562,1860.2,-76
2013-03-14 11:09:38,35.512713080666,24.024741541086,19.8037371523676,485.252859739824,485.656798460474,2.68632947258011,87.6629890733514,1,60562,1860.2,-63
2012-09-18 00:56:33,35.513197413508,24.024768842126,22.2777004240911,539.168791711202,539.628837157081,2.73209514982781,87.6339643617222,3,60561,1861.6,-68
2012-10-02 19:45:54,35.51376685,24.024694466667,15.5379515394715,602.558462000683,602.758764404692,2.78014353394774,88.5228623373123,1,60561,1861.6,-73
2012-10-02 19:45:47,35.513965433333,24.02476775,22.1787342448797,624.664758629729,625.058362816339,2.79592057008922,87.966566414738,1,60561,1861.6,-73
